code,language
"def greet(x):
    return x + 1

result = greet(10)",python
"import pandas as pd
df = pd.DataFrame({'col': [1, 2, 3]})
print(df)",python
"class Order:
    def __init__(self):
        self.value = 0
    
    def get_value(self):
        return self.value",python
"with open('file.txt', 'r') as f:
    content = f.read()
print(content)",python
"import re
pattern = r'\d+'
text = 'abc123def'
result = re.findall(pattern, text)",python
"def fibonacci(n):
    if n <= 1:
        return n
    return fibonacci(n-1) + fibonacci(n-2)",python
"nums = [1, 2, 3, 4, 5]
squared = [x**2 for x in nums]",python
"import json
data = {'name': 'John', 'age': 30}
json_str = json.dumps(data)",python
"def greet(name):
    '''Return greeting message'''
    return f'Hello, {name}!'

print(greet('World'))",python
"class Animal:
    def speak(self):
        raise NotImplementedError

class Dog(Animal):
    def speak(self):
        return 'Woof!'",python
"def greet(x):
    return x + 1

result = greet(10)",python
"import pandas as pd
df = pd.DataFrame({'col': [1, 2, 3]})
print(df)",python
"class Order:
    def __init__(self):
        self.value = 0
    
    def get_value(self):
        return self.value",python
"with open('file.txt', 'r') as f:
    content = f.read()
print(content)",python
"import re
pattern = r'\d+'
text = 'abc123def'
result = re.findall(pattern, text)",python
"def fibonacci(n):
    if n <= 1:
        return n
    return fibonacci(n-1) + fibonacci(n-2)",python
"nums = [1, 2, 3, 4, 5]
squared = [x**2 for x in nums]",python
"import json
data = {'name': 'John', 'age': 30}
json_str = json.dumps(data)",python
"def greet(name):
    '''Return greeting message'''
    return f'Hello, {name}!'

print(greet('World'))",python
"class Animal:
    def speak(self):
        raise NotImplementedError

class Dog(Animal):
    def speak(self):
        return 'Woof!'",python
"def greet(x):
    return x + 1

result = greet(10)",python
"import pandas as pd
df = pd.DataFrame({'col': [1, 2, 3]})
print(df)",python
"class Order:
    def __init__(self):
        self.value = 0
    
    def get_value(self):
        return self.value",python
"with open('file.txt', 'r') as f:
    content = f.read()
print(content)",python
"import re
pattern = r'\d+'
text = 'abc123def'
result = re.findall(pattern, text)",python
"def fibonacci(n):
    if n <= 1:
        return n
    return fibonacci(n-1) + fibonacci(n-2)",python
"nums = [1, 2, 3, 4, 5]
squared = [x**2 for x in nums]",python
"import json
data = {'name': 'John', 'age': 30}
json_str = json.dumps(data)",python
"def greet(name):
    '''Return greeting message'''
    return f'Hello, {name}!'

print(greet('World'))",python
"class Animal:
    def speak(self):
        raise NotImplementedError

class Dog(Animal):
    def speak(self):
        return 'Woof!'",python
"def greet(x):
    return x + 1

result = greet(10)",python
"import pandas as pd
df = pd.DataFrame({'col': [1, 2, 3]})
print(df)",python
"class Order:
    def __init__(self):
        self.value = 0
    
    def get_value(self):
        return self.value",python
"with open('file.txt', 'r') as f:
    content = f.read()
print(content)",python
"import re
pattern = r'\d+'
text = 'abc123def'
result = re.findall(pattern, text)",python
"def fibonacci(n):
    if n <= 1:
        return n
    return fibonacci(n-1) + fibonacci(n-2)",python
