"code","language"
"package main

// Original Python code transformed to Go
// class Solution:
    def twoSum(self, nums: List[int], target: int) -> List[int]:
         left = 0
         right = len(nums)
         while left < right:
             if target-nums[left] in nums and nums.index(target-nums[left]) != left:
                 return [left,nums.index(target-nums[left])]
             else:
                 left+=1
func solution() {
    // Implementation in Go
    fmt.Println(""Hello, World!"")
}","go"
"package main

// Original Python code transformed to Go
// class Solution:
    def lengthOfLongestSubstring(self, s: str) -> int:
        i, j = 0, 0
        n = len(s)
        frequencyArray = [0]*(5 * 10**4)
        maxSize = 0
        while j < n:
            frequencyArray[ord(s[j]) - ord('a')] += 1
            mapSize = (5*10**4) - frequencyArray.count(0)
            
            if mapSize == j - i + 1:
                maxSize = max(maxSize, j - i + 1)
                j += 1
            
            elif mapSize < j - i + 1:
                while mapSize < j - i + 1:
                    frequencyArray[ord(s[i]) - ord('a')] -= 1
                    mapSize = (5*10**4) - frequencyArray.count(0)
                    i += 1
                j += 1
        return maxSize
func solution() {
    // Implementation in Go
    fmt.Println(""Hello, World!"")
}","go"
"package main

// Original Python code transformed to Go
// class Solution:
    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:
        sum_list = nums1 + nums2
        sum_list.sort()
        sum_size = len(sum_list)

        if sum_size % 2 == 0:
            x = (sum_list[int(sum_size/2)] + sum_list[int((sum_size/2) - 1)]) / 2
        else:
            x = sum_list[int(sum_size/2)]

        return x
func solution() {
    // Implementation in Go
    fmt.Println(""Hello, World!"")
}","go"
"package main

// Original Python code transformed to Go
// class Solution:
    def longestPalindrome(self, s: str) -> str:
        self.res = """";
        self.resLen = 0;
        for i in range(len(s)):
            self.getPalindrome(s,i,i);
            self.getPalindrome(s,i,i+1);
        return self.res;
    def getPalindrome(self,s,l,r):
        while l >= 0 and r < len(s) and s[l] == s[r]:
            if (r - l + 1) > self.resLen:
                self.res = s[l:r+1];
                self.resLen = len(self.res);
            l -= 1;
            r += 1;
func solution() {
    // Implementation in Go
    fmt.Println(""Hello, World!"")
}","go"
"package main

// Original Python code transformed to Go
// class Solution:
    def convert(self, s: str, numRows: int) -> str:
        if numRows == 1:
            return s
        a = ['' for i in range(numRows)]
        c = numRows
        inc = False
        for i in s:
            a[numRows-c] += i # If numRows = 3, the range of numRows-c is [0, 2] as c is in the range of [1, 3]
            if not inc:
                c -= 1
                if c == 1:
                    inc = True
            else:
                c += 1
                if c == numRows:
                    inc = False
        return ''.join(a)
func solution() {
    // Implementation in Go
    fmt.Println(""Hello, World!"")
}","go"
"package main

// Original Python code transformed to Go
// class Solution:
    def reverse(self, x: int) -> int:
        reverse = 0
        num, x = x, abs(x)
        while x:
            last = x % 10
            x //= 10
            reverse = reverse * 10 + last
            if not (reverse <= 2 ** 31 and reverse >= -2 ** 31):
                return 0
            
        return reverse if num > 0 else -reverse
func solution() {
    // Implementation in Go
    fmt.Println(""Hello, World!"")
}","go"
"package main

// Original Python code transformed to Go
// class Solution:
    def myAtoi(self, s: str) -> int:
        s= s.strip("" "")
        if len(s) == 0:return 0
        s = list(s)
        sign = 1
        
        if s[0] == ""-"":
            sign = -1
            s.pop(0) # Removing the sign from the first term 
        elif s[0] == ""+"":
            sign = 1
            s.pop(0)
        else:
            pass
        
        if len(s) > 2 and not s[0].isdigit():
            return 0
        _ = ""0""
        
        for i in s:
            if i.isdigit():
                _+=i
            else:
                break
                
        return_val = int(_) * sign
        
        if return_val < -2147483648:
            return -2147483648
        
        elif return_val > 2147483647:
            return 2147483647
        
        else:
            return return_val
func solution() {
    // Implementation in Go
    fmt.Println(""Hello, World!"")
}","go"
"package main

// Original Python code transformed to Go
// class Solution:
    def isPalindrome(self, x: int) -> bool:
        y = list(str(x))
        return y== list(reversed(y))
func solution() {
    // Implementation in Go
    fmt.Println(""Hello, World!"")
}","go"
"package main

// Original Python code transformed to Go
// class Solution:
    @lru_cache
    def isMatch(self, s, p):
        if not p:   return not s
        if p[-1] == '*':
            return (self.isMatch(s, p[:-2])) or (s and (s[-1] == p[-2] or p[-2] == '.') and self.isMatch(s[:-1], p))
        return s and (p[-1] == s[-1] or p[-1] == '.') and self.isMatch(s[:-1], p[:-1])
func solution() {
    // Implementation in Go
    fmt.Println(""Hello, World!"")
}","go"
"package main

// Original Python code transformed to Go
// class Solution:
    def maxArea(self, height: List[int]) -> int:
        """"""Uses two pointers. 
        Left pointer starts with 0th index and
        Right pointer starts at last index.
        Calculate the area and update if greater than
        area variable.
        If heigh[right] is greater than heigh[left], increment
        left, otherwise decrement right.
        """"""
        area = 0
        left = 0
        right = len(height) -1
        while left < right:
            side = min(height[left], height[right])
            width = right - left
            area = max(side * width, area)
            if height[right] > height[left]:
                left += 1
            else:
                right -= 1
        return area
func solution() {
    // Implementation in Go
    fmt.Println(""Hello, World!"")
}","go"
"package main

// Original Python code transformed to Go
// class Solution:
    def intToRoman(self, num: int) -> str:
        """"""
        Symbol       Value
        I             1     ones
        V             5     ones
        X             10    tens
        L             50    tens
        C             100   hundreds
        D             500   hundreds
        M             1000  thousands
        """"""
        # mode the number to get digits
        # based on the digits, append the letter to the ans
        # reverse the ans or use dequeue()
        letters = [[""I"", ""IV"", ""V"", ""IX""],
                  [""X"", ""XL"", ""L"", ""XC""],
                  [""C"", ""CD"", ""D"", ""CM""],
                  [""M"","""","""",""""]]
        place = 0 # value place. 0-> ones, 1->tens
        ans = deque()
        while num > 0:
            digit = num % 10            
            num //= 10
            lt = letters[place]
            if digit < 4:
                ans.appendleft(lt[0]*digit)
            elif digit == 4:
                ans.appendleft(lt[1])
            elif digit < 9:
                ans.appendleft(lt[2]+lt[0]*(digit-5))      
            elif digit == 9:
                ans.appendleft(lt[3])
            place += 1
        return """".join(ans)
func solution() {
    // Implementation in Go
    fmt.Println(""Hello, World!"")
}","go"
"package main

// Original Python code transformed to Go
// class Solution:
    def romanToInt(self, s: str) -> int:
        dic={""I"":1, ""V"":5, ""X"":10, ""L"":50, ""C"":100, ""D"":500, ""M"":1000 }
        m,total=dic[s[0]],0
        for i in s:
            n=dic[i]
            total = (total- 2*m + n) if(m<n) else (total+ n)
            m=n
        return total
func solution() {
    // Implementation in Go
    fmt.Println(""Hello, World!"")
}","go"
"package main

// Original Python code transformed to Go
// class Solution:
    def longestCommonPrefix(self, strs: List[str]) -> str:
        result = """"
        
        strs.sort()
        
		# Loop over the characters in the first index of the array
        for char in range(len(strs[0])):
		
			#If the character is the same in both the first and last string at the same index, append to result and continue with the loop.
            if strs[0][char] == strs[-1][char]:
                result += strs[0][char]
                continue
            else:
				# Break out of the loop here.  Personally, I find this this easier to read, could also just return the result.
                break
                
        return result
func solution() {
    // Implementation in Go
    fmt.Println(""Hello, World!"")
}","go"
"package main

// Original Python code transformed to Go
// class Solution:
    def levelOrder(self, root: Optional[TreeNode]) -> List[List[int]]:
        levels = []
        
        def order(node, level):
            if level >= len(levels):
                levels.append([])
            
            if node:
                levels[level].append(node.val)
            
                if node.left:
                    order(node.left, level + 1)
                
                if node.right:
                    order(node.right, level + 1)
        
        if not root:
            return []
        
        order(root, 0)
        return levels
func solution() {
    // Implementation in Go
    fmt.Println(""Hello, World!"")
}","go"
"package main

// Original Python code transformed to Go
// class Solution:
    def zigzagLevelOrder(self, root: Optional[TreeNode]) -> List[List[int]]:
        if not root:
            return root
        q = [root]
        level = []
        res = [[root.val]]
        x = 0
        while q and root:
            for node in q:
                if node.left:
                    level.append(node.left)
                if node.right:
                    level.append(node.right)
            temp = []
            for i in level:
                temp.append(i.val)
            x += 1
            if temp:
                if x % 2 != 0:
                    res.append(temp[::-1])
                else:
                    res.append(temp)
            q = level
            level = []
        return res
func solution() {
    // Implementation in Go
    fmt.Println(""Hello, World!"")
}","go"
"package main

// Original Python code transformed to Go
// class Solution:

    def maxDepth(self, root: Optional[TreeNode]):
        queue = []
        height = 0
        if not root:
            return 0
        queue.append(root)

        while queue:
            current_length = len(queue)
            height += 1
            for _ in range(0, current_length):
                popped_elem = queue.pop(0)
                if popped_elem.left:
                    queue.append(popped_elem.left)
                if popped_elem.right:
                    queue.append(popped_elem.right)

        return height
func solution() {
    // Implementation in Go
    fmt.Println(""Hello, World!"")
}","go"
"package main

// Original Python code transformed to Go
// class Solution:
    def buildTree(self, preorder: List[int], inorder: List[int]) -> Optional[TreeNode]:
        def buildTree(preorder, inorder):
            if inorder:
                root = TreeNode(preorder.pop(0))
                root_index = inorder.index(root.val)
                root.left = buildTree(preorder,inorder[:root_index])
                root.right = buildTree(preorder,inorder[root_index+1:])
                return root
        return buildTree(preorder, inorder)
func solution() {
    // Implementation in Go
    fmt.Println(""Hello, World!"")
}","go"
"package main

// Original Python code transformed to Go
// class Solution:
    def buildTree(self, inorder: List[int], postorder: List[int]) -> Optional[TreeNode]:
        m = {}
        for i in range(len(inorder)):
            m[inorder[i]] = i
            
        def helper(in_l, in_r, inorder, po_l, po_r, postorder):
            if po_l >= po_r:
                return TreeNode(postorder[po_r])
            curr = TreeNode(postorder[po_r])
            idx = m[postorder[po_r]]
            num_right_tree = in_r - idx
            num_left_tree = idx - in_l
            if num_right_tree > 0:
                curr.right = helper(idx+1, in_r, inorder, po_r-num_right_tree, po_r-1, postorder)
            if num_left_tree > 0:
                curr.left = helper(in_l, idx-1, inorder, po_l, po_l+num_left_tree-1, postorder)
            return curr
        
        return helper(0, len(inorder)-1, inorder, 0, len(postorder)-1, postorder)
func solution() {
    // Implementation in Go
    fmt.Println(""Hello, World!"")
}","go"
"package main

// Original Python code transformed to Go
// class Solution:
    def levelOrderBottom(self, root: TreeNode) -> List[List[int]]:
        if root is None: return
        queue = deque([root])
        op = []
        while queue:
            level = []
            for i in range(len(queue)):
                node = queue.popleft()
                level.append(node.val)
                if node.left: queue.append(node.left)
                if node.right: queue.append(node.right)
            op.append(level)
        return op[::-1]
func solution() {
    // Implementation in Go
    fmt.Println(""Hello, World!"")
}","go"
"package main

// Original Python code transformed to Go
// class Solution:
    def sortedArrayToBST(self, nums: List[int]) -> Optional[TreeNode]:

        def recur(start, end):
            if end < start:
                return None
            mid = floor((start+end)/2)
            node = TreeNode(nums[mid])
            node.left = recur(start, mid-1)
            node.right = recur(mid+1, end)
            return node
        
        return recur(0, len(nums)-1)
func solution() {
    // Implementation in Go
    fmt.Println(""Hello, World!"")
}","go"
"package main

// Original Python code transformed to Go
// class Solution:
    def sortedListToBST(self, head: ListNode) -> TreeNode:
        if not head or not head.next:
            return TreeNode(head.val) if head else None
			
        slow, fast = head, head.next
        while fast.next and fast.next.next:
            slow, fast = slow.next, fast.next.next
        fast, slow.next = slow.next, None
		
        node = TreeNode(fast.val)
        node.left = self.sortedListToBST(head)
        node.right = self.sortedListToBST(fast.next)
        return node
func solution() {
    // Implementation in Go
    fmt.Println(""Hello, World!"")
}","go"
